Year,Municipio,Nacionalidad,GeoCode,Value
2020,Zahara,,A11042,1.52
2020,Benalup-Casas Viejas,,A11901,1.62
2020,San José del Valle,,A11902,0.86
2020,San Martín del Tesorillo,,A11903,22.35
2020,Adamuz,,A14001,2.34
2020,Aguilar de la Frontera,,A14002,1.94
2020,Alcaracejos,,A14003,1.29
2020,Almedinilla,,A14004,4.89
2020,Almodóvar del Río,,A14005,1.46
2020,Añora,,A14006,0.92
2020,Baena,,A14007,4.02
2020,Belalcázar,,A14008,1.98
2020,Belmez,,A14009,1.16
2020,Benamejí,,A14010,1.65
2020,"Blázquez, Los",,A14011,1.51
2020,Bujalance,,A14012,1.5
2020,Cabra,,A14013,3.57
2020,Cañete de las Torres,,A14014,2.81
2020,Carcabuey,,A14015,1.81
2020,Cardeña,,A14016,1.09
2020,"Carlota, La",,A14017,2.84
2020,"Carpio, El",,A14018,1.1
2020,Castro del Río,,A14019,2.87
2020,Conquista,,A14020,1.64
2020,Córdoba,,A14021,2.86
2020,Doña Mencía,,A14022,0.82
2020,Dos Torres,,A14023,1.09
2020,Encinas Reales,,A14024,3.02
2020,Espejo,,A14025,2.1
2020,Espiel,,A14026,2.25
2020,Fernán-Núñez,,A14027,1.48
2020,Fuente la Lancha,,A14028,0.58
2020,Fuente Obejuna,,A14029,1.07
2020,Fuente Palmera,,A14030,2.79
2020,Fuente-Tójar,,A14031,3.3
2020,"Granjuela, La",,A14032,2.51
2020,Guadalcázar,,A14033,1.41
2020,"Guijo, El",,A14034,0.85
2020,Hinojosa del Duque,,A14035,1.1
2020,Hornachuelos,,A14036,1.94
2020,Iznájar,,A14037,12.92
2020,Lucena,,A14038,4.32
2020,Luque,,A14039,1.98
2020,Montalbán de Córdoba,,A14040,0.92
2020,Montemayor,,A14041,3.32
2020,Montilla,,A14042,2.93
2020,Montoro,,A14043,2.53
2020,Monturque,,A14044,1.08
2020,Moriles,,A14045,1.11
2020,Nueva Carteya,,A14046,0.9
2020,Obejo,,A14047,2.54
2020,Palenciana,,A14048,3.48
2020,Palma del Río,,A14049,5.89
2020,Pedro Abad,,A14050,0.99
2020,Pedroche,,A14051,0.67
2020,Peñarroya-Pueblonuevo,,A14052,1.21
2020,Posadas,,A14053,1.9
2020,Pozoblanco,,A14054,3.57
2020,Priego de Córdoba,,A14055,2.26
2020,Puente Genil,,A14056,4.35
2020,"Rambla, La",,A14057,2.5
2020,Rute,,A14058,4.94
2020,San Sebastián de los Ballesteros,,A14059,0.5
2020,Santaella,,A14060,2.1
2020,Santa Eufemia,,A14061,0.54
2020,Torrecampo,,A14062,0.96
2020,Valenzuela,,A14063,1.61
2020,Valsequillo,,A14064,1.44
2020,"Victoria, La",,A14065,0.96
2020,Villa del Río,,A14066,1.05
2020,Villafranca de Córdoba,,A14067,0.91
2020,Villaharta,,A14068,8.53
2020,Villanueva de Córdoba,,A14069,1.51
2020,Villanueva del Duque,,A14070,1.52
2020,Villanueva del Rey,,A14071,1.38
2020,Villaralto,,A14072,1.43
2020,Villaviciosa de Córdoba,,A14073,1.63
2020,"Viso, El",,A14074,1.03
2020,Zuheros,,A14075,3.15
2020,Fuente Carreteros,,A14901,2.87
2020,"Guijarrosa, La",,A14902,2.03
2020,Agrón,,A18001,7.31
2020,Alamedilla,,A18002,0.7
2020,Albolote,,A18003,4.04
2020,Albondón,,A18004,7.44
2020,Albuñán,,A18005,0.98
2020,Albuñol,,A18006,33.06
2020,Albuñuelas,,A18007,2.74
2020,Aldeire,,A18010,5.08
2020,Alfacar,,A18011,2.86
2020,Algarinejo,,A18012,4.86
2020,Alhama de Granada,,A18013,17.47
2020,Alhendín,,A18014,4.42
2020,Alicún de Ortega,,A18015,0.0
2020,Almegíjar,,A18016,7.42
2020,Almuñécar,,A18017,16.12
2020,Alquife,,A18018,1.55
2020,Arenas del Rey,,A18020,17.15
2020,Armilla,,A18021,8.39
2020,Atarfe,,A18022,4.65
2020,Baza,,A18023,7.36
2020,Beas de Granada,,A18024,2.04
2020,Beas de Guadix,,A18025,0.91
2020,Benalúa,,A18027,1.24
2020,Benalúa de las Villas,,A18028,5.12
2020,Benamaurel,,A18029,5.09
2020,Bérchules,,A18030,11.52
2020,Bubión,,A18032,13.42
2020,Busquístar,,A18033,7.89
2020,Cacín,,A18034,5.28
2020,Cádiar,,A18035,8.46
2020,Cájar,,A18036,3.65
2020,Calicasas,,A18037,2.66
2020,Campotéjar,,A18038,3.5
2020,Caniles,,A18039,4.23
2020,Cáñar,,A18040,26.26
2020,Capileira,,A18042,9.77
2020,Carataunas,,A18043,27.86
2020,Cástaras,,A18044,31.49
2020,Castilléjar,,A18045,9.92
2020,Castril,,A18046,4.7
2020,Cenes de la Vega,,A18047,6.18
2020,Cijuela,,A18048,5.3
2020,Cogollos de Guadix,,A18049,3.58
2020,Cogollos de la Vega,,A18050,1.3
2020,Colomera,,A18051,2.23
2020,Cortes de Baza,,A18053,7.1
2020,Cortes y Graena,,A18054,3.05
2020,Cúllar,,A18056,4.99
2020,Cúllar Vega,,A18057,4.21
2020,Chauchina,,A18059,2.25
2020,Chimeneas,,A18061,10.07
2020,Churriana de la Vega,,A18062,6.11
2020,Darro,,A18063,2.14
2020,Dehesas de Guadix,,A18064,1.42
2020,Dehesas Viejas,,A18065,2.76
2020,Deifontes,,A18066,1.31
2020,Diezma,,A18067,4.32
2020,Dílar,,A18068,4.21
2020,Dólar,,A18069,11.15
2020,Dúdar,,A18070,2.75
2020,Dúrcal,,A18071,4.29
2020,Escúzar,,A18072,1.9
2020,Ferreira,,A18074,1.0
2020,Fonelas,,A18076,2.25
2020,Fornes,,A18077,11.15
2020,Freila,,A18078,11.82
2020,Fuente Vaqueros,,A18079,4.29
2020,Galera,,A18082,14.85
2020,Gobernador,,A18083,0.87
2020,Gójar,,A18084,3.77
2020,Gor,,A18085,6.72
2020,Gorafe,,A18086,5.74
2020,Granada,,A18087,7.58
2020,Guadahortuna,,A18088,1.66
2020,Guadix,,A18089,4.9
2020,Gualchos,,A18093,34.28
2020,Güéjar Sierra,,A18094,5.53
2020,Güevéjar,,A18095,2.01
2020,Huélago,,A18096,2.99
2020,Huéneja,,A18097,9.32
2020,Huéscar,,A18098,2.54
2020,Huétor de Santillán,,A18099,2.13
2020,Huétor Tájar,,A18100,5.81
2020,Huétor Vega,,A18101,3.62
2020,Íllora,,A18102,2.67
2020,Ítrabo,,A18103,15.54
2020,Iznalloz,,A18105,3.13
2020,Játar,,A18106,23.11
2020,Jayena,,A18107,1.43
2020,Jérez del Marquesado,,A18108,2.62
2020,Jete,,A18109,28.37
2020,Jun,,A18111,3.37
2020,Juviles,,A18112,16.3
2020,"Calahorra, La",,A18114,4.49
2020,Láchar,,A18115,4.67
2020,Lanjarón,,A18116,6.66
2020,Lanteira,,A18117,1.24
2020,Lecrín,,A18119,9.14
2020,Lentegí,,A18120,6.31
2020,Lobras,,A18121,8.27
2020,Loja,,A18122,4.77
2020,Lugros,,A18123,0.0
2020,Lújar,,A18124,21.74
2020,"Malahá, La",,A18126,3.2
2020,Maracena,,A18127,4.64
2020,Marchal,,A18128,3.86
2020,Moclín,,A18132,3.84
2020,Molvízar,,A18133,11.33
2020,Monachil,,A18134,6.42
2020,Montefrío,,A18135,5.68
2020,Montejícar,,A18136,0.66
2020,Montillana,,A18137,7.09
2020,Moraleda de Zafayona,,A18138,4.46
2020,Motril,,A18140,9.57
2020,Murtas,,A18141,6.59
2020,Nigüelas,,A18143,7.85
2020,Nívar,,A18144,2.99
2020,Ogíjares,,A18145,3.98
2020,Orce,,A18146,10.55
2020,Órgiva,,A18147,26.02
2020,Otívar,,A18148,9.89
2020,Villa de Otura,,A18149,3.88
2020,Padul,,A18150,4.05
2020,Pampaneira,,A18151,9.78
2020,Pedro Martínez,,A18152,1.58
2020,Peligros,,A18153,2.39
2020,"Peza, La",,A18154,1.37
2020,Pinos Genil,,A18157,5.17
2020,Pinos Puente,,A18158,1.92
2020,Píñar,,A18159,3.99
2020,Polícar,,A18161,1.52
2020,Polopos,,A18162,38.21
2020,Pórtugos,,A18163,4.62
2020,Puebla de Don Fadrique,,A18164,5.59
2020,Pulianas,,A18165,1.96
2020,Purullena,,A18167,2.43
2020,Quéntar,,A18168,4.65
2020,Rubite,,A18170,15.18
2020,Salar,,A18171,1.98
2020,Salobreña,,A18173,12.1
2020,Santa Cruz del Comercio,,A18174,7.72
2020,Santa Fe,,A18175,4.2
2020,Soportújar,,A18176,6.44
2020,Sorvilán,,A18177,23.72
2020,Torre-Cardela,,A18178,0.56
2020,Torvizcón,,A18179,12.8
2020,Trevélez,,A18180,3.4
2020,Turón,,A18181,13.79
2020,Ugíjar,,A18182,7.55
2020,Válor,,A18183,7.53
2020,Vélez de Benaudalla,,A18184,10.87
2020,Ventas de Huelma,,A18185,6.24
2020,Villanueva de las Torres,,A18187,0.71
2020,Villanueva Mesía,,A18188,2.23
2020,Víznar,,A18189,4.13
2020,Zafarraya,,A18192,24.25
2020,"Zubia, La",,A18193,4.34
2020,Zújar,,A18194,9.43
2020,"Taha, La",,A18901,19.85
2020,"Valle, El",,A18902,7.83
2020,Nevada,,A18903,7.46
2020,Alpujarra de la Sierra,,A18904,18.47
2020,"Gabias, Las",,A18905,4.93
2020,"Guájares, Los",,A18906,8.17
2020,Valle del Zalabí,,A18907,2.38
2020,Villamena,,A18908,4.71
2020,Morelábor,,A18909,0.87
2020,"Pinar, El",,A18910,8.32
2020,Vegas del Genil,,A18911,3.03
2020,Cuevas del Campo,,A18912,11.93
2020,Zagra,,A18913,8.81
2020,Valderrubio,,A18914,1.21
2020,Domingo Pérez de Granada,,A18915,2.28
2020,Torrenueva Costa,,A18916,20.46
2020,Alájar,,A21001,5.8
2020,Aljaraque,,A21002,2.59
2020,"Almendro, El",,A21003,4.4
2020,Almonaster la Real,,A21004,2.13
2020,Almonte,,A21005,20.84
2020,Alosno,,A21006,3.03
2020,Aracena,,A21007,3.42
2020,Aroche,,A21008,0.82
2020,Arroyomolinos de León,,A21009,0.42
2020,Ayamonte,,A21010,13.38
2020,Beas,,A21011,4.52
2020,Berrocal,,A21012,3.63
2020,Bollullos Par del Condado,,A21013,9.76
2020,Bonares,,A21014,16.7
2020,Cabezas Rubias,,A21015,1.98
2020,Cala,,A21016,2.16
2020,Calañas,,A21017,1.45
2020,"Campillo, El",,A21018,1.68
2020,Campofrío,,A21019,1.96
2020,Cañaveral de León,,A21020,1.01
2020,Cartaya,,A21021,21.37
2020,Castaño del Robledo,,A21022,10.53
2020,"Cerro de Andévalo, El",,A21023,0.9
2020,Corteconcepción,,A21024,3.92
2020,Cortegana,,A21025,2.24
2020,Cortelazor,,A21026,4.01
2020,Cumbres de Enmedio,,A21027,7.84
2020,Cumbres de San Bartolomé,,A21028,0.53
2020,Cumbres Mayores,,A21029,1.66
2020,Chucena,,A21030,1.39
2020,Encinasola,,A21031,1.45
2020,Escacena del Campo,,A21032,2.36
2020,Fuenteheridos,,A21033,3.67
2020,Galaroza,,A21034,3.62
2020,Gibraleón,,A21035,5.35
2020,"Granada de Río-Tinto, La",,A21036,4.94
2020,"Granado, El",,A21037,4.14
2020,Higuera de la Sierra,,A21038,2.79
2020,Hinojales,,A21039,0.3
2020,Hinojos,,A21040,5.63
2020,Huelva,,A21041,4.6
2020,Isla Cristina,,A21042,8.79
2020,Jabugo,,A21043,2.61
2020,Lepe,,A21044,17.75
2020,Linares de la Sierra,,A21045,3.44
2020,Lucena del Puerto,,A21046,35.14
2020,Manzanilla,,A21047,1.65
2020,"Marines, Los",,A21048,5.01
2020,Minas de Riotinto,,A21049,1.76
2020,Moguer,,A21050,27.24
2020,"Nava, La",,A21051,3.1
2020,Nerva,,A21052,2.28
2020,Niebla,,A21053,4.71
2020,"Palma del Condado, La",,A21054,5.3
2020,Palos de la Frontera,,A21055,20.38
2020,Paterna del Campo,,A21056,1.3
2020,Paymogo,,A21057,3.96
2020,Puebla de Guzmán,,A21058,2.43
2020,Puerto Moral,,A21059,2.88
2020,Punta Umbría,,A21060,3.82
2020,Rociana del Condado,,A21061,22.29
2020,Rosal de la Frontera,,A21062,4.95
2020,San Bartolomé de la Torre,,A21063,15.1
2020,San Juan del Puerto,,A21064,8.79
2020,Sanlúcar de Guadiana,,A21065,24.57
2020,San Silvestre de Guzmán,,A21066,10.59
2020,Santa Ana la Real,,A21067,3.37
2020,Santa Bárbara de Casa,,A21068,2.01
2020,Santa Olalla del Cala,,A21069,1.19
2020,Trigueros,,A21070,2.66
2020,Valdelarco,,A21071,1.73
2020,Valverde del Camino,,A21072,2.85
2020,Villablanca,,A21073,18.99
2020,Villalba del Alcor,,A21074,1.4
2020,Villanueva de las Cruces,,A21075,2.58
2020,Villanueva de los Castillejos,,A21076,10.27
2020,Villarrasa,,A21077,5.43
2020,Zalamea la Real,,A21078,1.7
2020,Zufre,,A21079,3.02
2020,"Zarza-Perrunal, La",,A21902,0.64
2020,Albanchez de Mágina,,A23001,2.18
2020,Alcalá la Real,,A23002,4.24
2020,Alcaudete,,A23003,3.62
2020,Aldeaquemada,,A23004,2.52
2020,Andújar,,A23005,1.56
2020,Arjona,,A23006,0.83
2020,Arjonilla,,A23007,1.04
2020,Arquillos,,A23008,1.74
2020,Baeza,,A23009,2.91
2020,Bailén,,A23010,1.52
2020,Baños de la Encina,,A23011,0.47
2020,Beas de Segura,,A23012,6.69
2020,Begíjar,,A23014,1.03
2020,Bélmez de la Moraleda,,A23015,3.63
2020,Benatae,,A23016,4.49
2020,Cabra del Santo Cristo,,A23017,1.29
2020,Cambil,,A23018,2.91
2020,Campillo de Arenas,,A23019,2.74
2020,Canena,,A23020,5.68
2020,Carboneros,,A23021,0.68
2020,"Carolina, La",,A23024,1.42
2020,Castellar,,A23025,1.73
2020,Castillo de Locubín,,A23026,6.2
2020,Cazalilla,,A23027,1.62
2020,Cazorla,,A23028,2.29
2020,Chiclana de Segura,,A23029,6.49
2020,Chilluévar,,A23030,2.34
2020,Escañuela,,A23031,2.22
2020,Espeluy,,A23032,0.81
2020,Frailes,,A23033,5.24
2020,Fuensanta de Martos,,A23034,4.41
2020,Fuerte del Rey,,A23035,3.99
2020,Génave,,A23037,3.73
2020,"Guardia de Jaén, La",,A23038,1.44
2020,Guarromán,,A23039,2.45
2020,Lahiguera,,A23040,1.19
2020,Higuera de Calatrava,,A23041,3.91
2020,Hinojares,,A23042,11.53
2020,Hornos,,A23043,1.01
2020,Huelma,,A23044,1.88
2020,Huesa,,A23045,1.73
2020,Ibros,,A23046,3.61
2020,"Iruela, La",,A23047,3.14
2020,Iznatoraf,,A23048,2.12
2020,Jabalquinto,,A23049,0.84
2020,Jaén,,A23050,2.45
2020,Jamilena,,A23051,0.86
2020,Jimena,,A23052,1.65
2020,Jódar,,A23053,0.7
2020,Larva,,A23054,1.9
2020,Linares,,A23055,2.75
2020,Lopera,,A23056,1.56
2020,Lupión,,A23057,1.22
