Value,Disaggregation combinations using this value,Number of indicators
Dehesas de Guadix,4,4
Dehesas Viejas,4,4
Deifontes,4,4
Diezma,4,4
Dílar,4,4
Dólar,4,4
Domingo Pérez de Granada,4,4
Doña Mencía,4,4
Dos Hermanas,4,4
Dos Torres,4,4
Dúdar,4,4
Dúrcal,4,4
Écija,4,4
"Ejido, El",4,4
Encinas Reales,4,4
Encinasola,4,4
Enix,4,4
Escacena del Campo,4,4
Escañuela,4,4
Escúzar,4,4
Espartinas,4,4
Espejo,4,4
Espeluy,4,4
Espera,4,4
Espiel,4,4
Estepa,4,4
Estepona,4,4
Faraján,4,4
Felix,4,4
Fernán-Núñez,4,4
Ferreira,4,4
Fiñana,4,4
Fines,4,4
Fondón,4,4
Fonelas,4,4
Fornes,4,4
Frailes,4,4
Freila,4,4
Frigiliana,4,4
Fuengirola,4,4
Fuensanta de Martos,4,4
Fuente Carreteros,4,4
Fuente de Piedra,4,4
Fuente la Lancha,4,4
Fuente Obejuna,4,4
Fuente Palmera,4,4
Fuente-Tójar,4,4
Fuente Vaqueros,4,4
Fuenteheridos,4,4
Fuentes de Andalucía,4,4
Fuerte del Rey,4,4
"Gabias, Las",4,4
Gádor,4,4
Galaroza,4,4
Galera,4,4
"Gallardos, Los",4,4
"Garrobo, El",4,4
Garrucha,4,4
"Gastor, El",4,4
Gaucín,4,4
Gelves,4,4
Genalguacil,4,4
Génave,4,4
Gerena,4,4
Gérgal,4,4
Gibraleón,4,4
Gilena,4,4
Gines,4,4
Gobernador,4,4
Gójar,4,4
Gor,4,4
Gorafe,4,4
"Granada de Río-Tinto, La",4,4
Granada,4,4
"Granado, El",4,4
"Granjuela, La",4,4
Grazalema,4,4
Guadahortuna,4,4
Guadalcanal,4,4
Guadalcázar,4,4
Guadix,4,4
"Guájares, Los",4,4
Gualchos,4,4
"Guardia de Jaén, La",4,4
Guaro,4,4
Guarromán,4,4
Güéjar Sierra,4,4
Güevéjar,4,4
"Guijarrosa, La",4,4
"Guijo, El",4,4
Guillena,4,4
Herrera,4,4
Higuera de Calatrava,4,4
Higuera de la Sierra,4,4
Hinojales,4,4
Hinojares,4,4
Hinojos,4,4
Hinojosa del Duque,4,4
Hornachuelos,4,4
Hornos,4,4
Huécija,4,4
Huélago,4,4
Huelma,4,4
Huelva,4,4
Huéneja,4,4
Huércal de Almería,4,4
Huércal-Overa,4,4
Huesa,4,4
Huéscar,4,4
Huétor de Santillán,4,4
Huétor Tájar,4,4
Huétor Vega,4,4
Huévar del Aljarafe,4,4
Humilladero,4,4
Ibros,4,4
Igualeja,4,4
Íllar,4,4
Íllora,4,4
Instinción,4,4
"Iruela, La",4,4
Isla Cristina,4,4
Isla Mayor,4,4
Istán,4,4
Ítrabo,4,4
Iznájar,4,4
Iznalloz,4,4
Iznate,4,4
Iznatoraf,4,4
Jabalquinto,4,4
Jabugo,4,4
Jaén,4,4
Jamilena,4,4
Játar,4,4
Jayena,4,4
Jerez de la Frontera,4,4
Jérez del Marquesado,4,4
Jete,4,4
Jimena de la Frontera,4,4
Jimena,4,4
Jimera de Líbar,4,4
Jódar,4,4
Jubrique,4,4
Jun,4,4
Juviles,4,4
Júzcar,4,4
Láchar,4,4
Lahiguera,4,4
Lanjarón,4,4
Lanteira,4,4
Lantejuela,4,4
Laroya,4,4
Larva,4,4
Láujar de Andarax,4,4
Lebrija,4,4
Lecrín,4,4
Lentegí,4,4
Lepe,4,4
Líjar,4,4
Linares de la Sierra,4,4
Linares,4,4
"Línea de la Concepción, La",4,4
Lobras,4,4
Loja,4,4
Lopera,4,4
Lora de Estepa,4,4
Lora del Río,4,4
Lubrín,4,4
Lucainena de las Torres,4,4
Lúcar,4,4
Lucena del Puerto,4,4
Lucena,4,4
Lugros,4,4
"Luisiana, La",4,4
Lújar,4,4
Lupión,4,4
Luque,4,4
Macael,4,4
Macharaviaya,4,4
"Madroño, El",4,4
Mairena del Alcor,4,4
Mairena del Aljarafe,4,4
Málaga,4,4
"Malahá, La",4,4
Mancha Real,4,4
Manilva,4,4
Manzanilla,4,4
Maracena,4,4
Marbella,4,4
Marchal,4,4
Marchena,4,4
María,4,4
Marinaleda,4,4
"Marines, Los",4,4
Marmolejo,4,4
Martín de la Jara,4,4
Martos,4,4
Medina Sidonia,4,4
Mengíbar,4,4
Mijas,4,4
Minas de Riotinto,4,4
Moclín,4,4
Moclinejo,4,4
Moguer,4,4
Mojácar,4,4
"Mojonera, La",4,4
"Molares, Los",4,4
Mollina,4,4
Molvízar,4,4
Monachil,4,4
Monda,4,4
Montalbán de Córdoba,4,4
Montecorto,4,4
Montefrío,4,4
Montejaque,4,4
Montejícar,4,4
Montellano,4,4
Montemayor,4,4
Montilla,4,4
Montillana,4,4
Montizón,4,4
Montoro,4,4
Monturque,4,4
Moraleda de Zafayona,4,4
Morelábor,4,4
Moriles,4,4
Morón de la Frontera,4,4
Motril,4,4
Murtas,4,4
Nacimiento,4,4
"Nava, La",4,4
"Navas de la Concepción, Las",4,4
Navas de San Juan,4,4
Nerja,4,4
Nerva,4,4
Nevada,4,4
Niebla,4,4
Nigüelas,4,4
Níjar,4,4
Nívar,4,4
Noalejo,4,4
Nueva Carteya,4,4
Obejo,4,4
Ogíjares,4,4
Ohanes,4,4
Ojén,4,4
Olivares,4,4
Olula de Castro,4,4
Olula del Río,4,4
Olvera,4,4
Orce,4,4
Orcera,4,4
Órgiva,4,4
Oria,4,4
Osuna,4,4
Otívar,4,4
Padul,4,4
Padules,4,4
"Palacios y Villafranca, Los",4,4
Palenciana,4,4
"Palma del Condado, La",4,4
Palma del Río,4,4
"Palmar de Troya, El",4,4
Palomares del Río,4,4
Palos de la Frontera,4,4
Pampaneira,4,4
Paradas,4,4
Parauta,4,4
Partaloa,4,4
