Value,Disaggregation combinations using this value,Number of indicators
Cuevas del Becerro,5,4
Cuevas del Campo,5,4
Cumbres de Enmedio,5,4
Cumbres de San Bartolomé,5,4
Cumbres Mayores,5,4
Cádiar,5,4
Cádiz,5,4
Cájar,5,4
Cárcheles,5,4
Cártama,5,4
Cástaras,5,4
Cáñar,5,4
Cóbdar,5,4
Cómpeta,5,4
Córdoba,5,4
Cúllar Vega,5,4
Cúllar,5,4
Cútar,5,4
Dalías,5,4
Darro,5,4
Dehesas de Guadix,5,4
Dehesas Viejas,5,4
Deifontes,5,4
Diezma,5,4
Domingo Pérez de Granada,5,4
Dos Hermanas,5,4
Dos Torres,5,4
Doña Mencía,5,4
Dílar,5,4
Dólar,5,4
Dúdar,5,4
Dúrcal,5,4
Ejido (El),3,3
"Ejido, El",2,1
Encinas Reales,5,4
Encinasola,5,4
Enix,5,4
Escacena del Campo,5,4
Escañuela,5,4
Escúzar,5,4
Espartinas,5,4
Espejo,5,4
Espeluy,5,4
Espera,5,4
Espiel,5,4
Estepa,5,4
Estepona,5,4
Faraján,5,4
Felix,5,4
Fernán-Núñez,5,4
Ferreira,5,4
Fines,5,4
Fiñana,5,4
Fondón,5,4
Fonelas,5,4
Fornes,5,4
Frailes,5,4
Freila,5,4
Frigiliana,5,4
Fuengirola,5,4
Fuensanta de Martos,5,4
Fuente Carreteros,5,4
Fuente de Piedra,5,4
Fuente la Lancha,5,4
Fuente Obejuna,5,4
Fuente Palmera,5,4
Fuente-Tójar,5,4
Fuente Vaqueros,5,4
Fuenteheridos,5,4
Fuentes de Andalucía,5,4
Fuerte del Rey,5,4
Gabias (Las),3,3
"Gabias, Las",2,1
Galaroza,5,4
Galera,5,4
Gallardos (Los),3,3
"Gallardos, Los",2,1
Garrobo (El),3,3
"Garrobo, El",2,1
Garrucha,5,4
Gastor (El),3,3
"Gastor, El",2,1
Gaucín,5,4
Gelves,5,4
Genalguacil,5,4
Gerena,5,4
Gibraleón,5,4
Gilena,5,4
Gines,5,4
Gobernador,5,4
Gor,5,4
Gorafe,5,4
Granada de Río-Tinto (La),3,3
"Granada de Río-Tinto, La",2,1
Granada,5,4
Granado (El),3,3
"Granado, El",2,1
Granjuela (La),3,3
"Granjuela, La",2,1
Grazalema,5,4
Guadahortuna,5,4
Guadalcanal,5,4
Guadalcázar,5,4
Guadix,5,4
Gualchos,5,4
Guardia de Jaén (La),3,3
"Guardia de Jaén, La",2,1
Guaro,5,4
Guarromán,5,4
Guijarrosa (La),3,3
"Guijarrosa, La",2,1
Guijo (El),3,3
"Guijo, El",2,1
Guillena,5,4
Guájares (Los),3,3
"Guájares, Los",2,1
Gádor,5,4
Génave,5,4
Gérgal,5,4
Gójar,5,4
Güevéjar,5,4
Güéjar Sierra,5,4
Herrera,5,4
Higuera de Calatrava,5,4
Higuera de la Sierra,5,4
Hinojales,5,4
Hinojares,5,4
Hinojos,5,4
Hinojosa del Duque,5,4
Hornachuelos,5,4
Hornos,5,4
Huelma,5,4
Huelva,5,4
Huesa,5,4
Humilladero,5,4
Huécija,5,4
Huélago,5,4
Huéneja,5,4
Huércal de Almería,5,4
Huércal-Overa,5,4
Huéscar,5,4
Huétor de Santillán,5,4
Huétor Tájar,5,4
Huétor Vega,5,4
Huévar del Aljarafe,5,4
Ibros,5,4
Igualeja,5,4
Instinción,5,4
Iruela (La),3,3
"Iruela, La",2,1
Isla Cristina,5,4
Isla Mayor,5,4
Istán,5,4
Iznalloz,5,4
Iznate,5,4
Iznatoraf,5,4
Iznájar,5,4
Jabalquinto,5,4
Jabugo,5,4
Jamilena,5,4
Jayena,5,4
Jaén,5,4
Jerez de la Frontera,5,4
Jete,5,4
Jimena de la Frontera,5,4
Jimena,5,4
Jimera de Líbar,5,4
Jubrique,5,4
Jun,5,4
Juviles,5,4
Játar,5,4
Jérez del Marquesado,5,4
Jódar,5,4
Júzcar,5,4
Lahiguera,5,4
Lanjarón,5,4
Lanteira,5,4
Lantejuela,5,4
