"Year","Grado urbanización","Municipio","GeoCode","Value"
2020,"Zona de densidad intermedia","Huéscar","18098",2.54
2020,"Zona rural","Huétor de Santillán","18099",2.13
2020,"Zona de densidad intermedia","Huétor Tájar","18100",5.81
2020,"Ciudades","Huétor Vega","18101",3.62
2020,"Zona rural","Íllora","18102",2.67
2020,"Zona rural","Ítrabo","18103",15.54
2020,"Zona de densidad intermedia","Iznalloz","18105",3.13
2020,"Zona rural","Játar","18106",23.11
2020,"Zona rural","Jayena","18107",1.43
2020,"Zona rural","Jérez del Marquesado","18108",2.62
2020,"Zona rural","Jete","18109",28.37
2020,"Zona rural","Jun","18111",3.37
2020,"Zona rural","Juviles","18112",16.3
2020,"Zona rural","Calahorra, La","18114",4.49
2020,"Zona rural","Láchar","18115",4.67
2020,"Zona rural","Lanjarón","18116",6.66
2020,"Zona rural","Lanteira","18117",1.24
2020,"Zona rural","Lecrín","18119",9.14
2020,"Zona rural","Lentegí","18120",6.31
2020,"Zona rural","Lobras","18121",8.27
2020,"Zona de densidad intermedia","Loja","18122",4.77
2020,"Zona rural","Lugros","18123",0
2020,"Zona rural","Lújar","18124",21.74
2020,"Zona rural","Malahá, La","18126",3.2
2020,"Ciudades","Maracena","18127",4.64
2020,"Zona rural","Marchal","18128",3.86
2020,"Zona rural","Moclín","18132",3.84
2020,"Zona rural","Molvízar","18133",11.33
2020,"Ciudades","Monachil","18134",6.42
2020,"Zona rural","Montefrío","18135",5.68
2020,"Zona rural","Montejícar","18136",0.66
2020,"Zona rural","Montillana","18137",7.09
2020,"Zona rural","Moraleda de Zafayona","18138",4.46
2020,"Zona de densidad intermedia","Motril","18140",9.57
2020,"Zona rural","Murtas","18141",6.59
2020,"Zona rural","Nigüelas","18143",7.85
2020,"Zona de densidad intermedia","Nívar","18144",2.99
2020,"Ciudades","Ogíjares","18145",3.98
2020,"Zona rural","Orce","18146",10.55
2020,"Zona rural","Órgiva","18147",26.02
2020,"Zona rural","Otívar","18148",9.89
2020,"Zona de densidad intermedia","Villa de Otura","18149",3.88
2020,"Zona de densidad intermedia","Padul","18150",4.05
2020,"Zona rural","Pampaneira","18151",9.78
2020,"Zona rural","Pedro Martínez","18152",1.58
2020,"Zona de densidad intermedia","Peligros","18153",2.39
2020,"Zona rural","Peza, La","18154",1.37
2020,"Zona rural","Pinos Genil","18157",5.17
2020,"Zona de densidad intermedia","Pinos Puente","18158",1.92
2020,"Zona rural","Píñar","18159",3.99
2020,"Zona rural","Polícar","18161",1.52
2020,"Zona rural","Polopos","18162",38.21
2020,"Zona rural","Pórtugos","18163",4.62
2020,"Zona rural","Puebla de Don Fadrique","18164",5.59
2020,"Ciudades","Pulianas","18165",1.96
2020,"Zona rural","Purullena","18167",2.43
2020,"Zona rural","Quéntar","18168",4.65
2020,"Zona rural","Rubite","18170",15.18
2020,"Zona rural","Salar","18171",1.98
2020,"Zona de densidad intermedia","Salobreña","18173",12.1
2020,"Zona rural","Santa Cruz del Comercio","18174",7.72
2020,"Zona de densidad intermedia","Santa Fe","18175",4.2
2020,"Zona rural","Soportújar","18176",6.44
2020,"Zona rural","Sorvilán","18177",23.72
2020,"Zona rural","Torre-Cardela","18178",0.56
2020,"Zona rural","Torvizcón","18179",12.8
2020,"Zona rural","Trevélez","18180",3.4
2020,"Zona rural","Turón","18181",13.79
2020,"Zona rural","Ugíjar","18182",7.55
2020,"Zona rural","Válor","18183",7.53
2020,"Zona rural","Vélez de Benaudalla","18184",10.87
2020,"Zona rural","Ventas de Huelma","18185",6.24
2020,"Zona rural","Villanueva de las Torres","18187",0.71
2020,"Zona rural","Villanueva Mesía","18188",2.23
2020,"Zona de densidad intermedia","Víznar","18189",4.13
2020,"Zona rural","Zafarraya","18192",24.25
2020,"Ciudades","Zubia, La","18193",4.34
2020,"Zona rural","Zújar","18194",9.43
2020,"Zona rural","Taha, La","18901",19.85
2020,"Zona rural","Valle, El","18902",7.83
2020,"Zona rural","Nevada","18903",7.46
2020,"Zona rural","Alpujarra de la Sierra","18904",18.47
2020,"Ciudades","Gabias, Las","18905",4.93
2020,"Zona rural","Guájares, Los","18906",8.17
2020,"Zona rural","Valle del Zalabí","18907",2.38
2020,"Zona de densidad intermedia","Villamena","18908",4.71
2020,"Zona rural","Morelábor","18909",0.87
2020,"Zona rural","Pinar, El","18910",8.32
2020,"Zona de densidad intermedia","Vegas del Genil","18911",3.03
2020,"Zona rural","Cuevas del Campo","18912",11.93
2020,"Zona rural","Zagra","18913",8.81
2020,"Zona rural","Valderrubio","18914",1.21
2020,"Zona rural","Domingo Pérez de Granada","18915",2.28
2020,"Zona rural","Torrenueva Costa","18916",20.46
2020,"Zona rural","Alájar","21001",5.8
2020,"Zona de densidad intermedia","Aljaraque","21002",2.59
2020,"Zona rural","Almendro, El","21003",4.4
2020,"Zona rural","Almonaster la Real","21004",2.13
2020,"Zona de densidad intermedia","Almonte","21005",20.84
2020,"Zona rural","Alosno","21006",3.03
2020,"Zona de densidad intermedia","Aracena","21007",3.42
2020,"Zona rural","Aroche","21008",0.82
2020,"Zona rural","Arroyomolinos de León","21009",0.42
2020,"Zona de densidad intermedia","Ayamonte","21010",13.38
2020,"Zona rural","Beas","21011",4.52
2020,"Zona rural","Berrocal","21012",3.63
2020,"Zona de densidad intermedia","Bollullos Par del Condado","21013",9.76
2020,"Zona de densidad intermedia","Bonares","21014",16.7
2020,"Zona rural","Cabezas Rubias","21015",1.98
2020,"Zona rural","Cala","21016",2.16
2020,"Zona rural","Calañas","21017",1.45
2020,"Zona rural","Campillo, El","21018",1.68
2020,"Zona rural","Campofrío","21019",1.96
2020,"Zona rural","Cañaveral de León","21020",1.01
2020,"Zona de densidad intermedia","Cartaya","21021",21.37
2020,"Zona rural","Castaño del Robledo","21022",10.53
2020,"Zona rural","Cerro de Andévalo, El","21023",0.9
2020,"Zona rural","Corteconcepción","21024",3.92
2020,"Zona rural","Cortegana","21025",2.24
2020,"Zona rural","Cortelazor","21026",4.01
2020,"Zona rural","Cumbres de Enmedio","21027",7.84
2020,"Zona rural","Cumbres de San Bartolomé","21028",0.53
2020,"Zona rural","Cumbres Mayores","21029",1.66
2020,"Zona rural","Chucena","21030",1.39
2020,"Zona rural","Encinasola","21031",1.45
2020,"Zona de densidad intermedia","Escacena del Campo","21032",2.36
2020,"Zona rural","Fuenteheridos","21033",3.67
2020,"Zona rural","Galaroza","21034",3.62
2020,"Zona de densidad intermedia","Gibraleón","21035",5.35
2020,"Zona rural","Granada de Río-Tinto, La","21036",4.94
2020,"Zona rural","Granado, El","21037",4.14
2020,"Zona rural","Higuera de la Sierra","21038",2.79
