Year,Nacionalidad,Grado urbanización,Municipio,GeoCode,Value
2020,UE15,Zona de densidad intermedia,"Ejido, El",A04902,0.92
2020,UE15,Zona de densidad intermedia,"Mojonera, La",A04903,0.35
2020,UE15,Zona rural,Balanegra,A04904,1.19
2020,UE15,Zona rural,Alcalá de los Gazules,A11001,0.52
2020,UE15,Zona rural,Alcalá del Valle,A11002,0.3
2020,UE15,Zona rural,Algar,A11003,0.35
2020,UE15,Ciudades,Algeciras,A11004,0.59
2020,UE15,Zona rural,Algodonales,A11005,1.73
2020,UE15,Zona de densidad intermedia,Arcos de la Frontera,A11006,0.8
2020,UE15,Zona de densidad intermedia,Barbate,A11007,1.0
2020,UE15,Zona de densidad intermedia,"Barrios, Los",A11008,0.97
2020,UE15,Zona rural,Benaocaz,A11009,0.89
2020,UE15,Zona de densidad intermedia,Bornos,A11010,0.25
2020,UE15,Zona rural,"Bosque, El",A11011,0.47
2020,UE15,Ciudades,Cádiz,A11012,0.51
2020,UE15,Zona rural,Castellar de la Frontera,A11013,2.78
2020,UE15,Zona de densidad intermedia,Conil de la Frontera,A11014,2.36
2020,UE15,Ciudades,Chiclana de la Frontera,A11015,2.1
2020,UE15,Zona de densidad intermedia,Chipiona,A11016,0.74
2020,UE15,Zona rural,Espera,A11017,0.03
2020,UE15,Zona rural,"Gastor, El",A11018,2.49
2020,UE15,Zona rural,Grazalema,A11019,0.5
2020,UE15,Ciudades,Jerez de la Frontera,A11020,0.41
2020,UE15,Zona rural,Jimena de la Frontera,A11021,5.13
2020,UE15,Ciudades,"Línea de la Concepción, La",A11022,2.66
2020,UE15,Zona de densidad intermedia,Medina Sidonia,A11023,0.82
2020,UE15,Zona de densidad intermedia,Olvera,A11024,1.64
2020,UE15,Zona de densidad intermedia,Paterna de Rivera,A11025,0.13
2020,UE15,Zona de densidad intermedia,Prado del Rey,A11026,0.29
2020,UE15,Ciudades,"Puerto de Santa María, El",A11027,0.86
2020,UE15,Zona de densidad intermedia,Puerto Real,A11028,0.38
2020,UE15,Zona de densidad intermedia,Puerto Serrano,A11029,0.19
2020,UE15,Zona de densidad intermedia,Rota,A11030,0.48
2020,UE15,Ciudades,San Fernando,A11031,0.12
2020,UE15,Ciudades,Sanlúcar de Barrameda,A11032,0.43
2020,UE15,Zona de densidad intermedia,San Roque,A11033,6.24
2020,UE15,Zona rural,Setenil de las Bodegas,A11034,0.18
2020,UE15,Zona de densidad intermedia,Tarifa,A11035,5.76
2020,UE15,Zona rural,Torre Alháquime,A11036,0.38
2020,UE15,Zona de densidad intermedia,Trebujena,A11037,0.24
2020,UE15,Zona de densidad intermedia,Ubrique,A11038,0.11
2020,UE15,Zona de densidad intermedia,Vejer de la Frontera,A11039,2.82
2020,UE15,Zona rural,Villaluenga del Rosario,A11040,0.66
2020,UE15,Zona de densidad intermedia,Villamartín,A11041,0.45
2020,UE15,Zona rural,Zahara,A11042,0.8
2020,UE15,Zona de densidad intermedia,Benalup-Casas Viejas,A11901,0.5
2020,UE15,Zona rural,San José del Valle,A11902,0.27
2020,UE15,Zona rural,San Martín del Tesorillo,A11903,4.11
2020,UE15,Zona rural,Adamuz,A14001,0.1
2020,UE15,Zona de densidad intermedia,Aguilar de la Frontera,A14002,0.09
2020,UE15,Zona rural,Alcaracejos,A14003,0.2
2020,UE15,Zona rural,Almedinilla,A14004,0.59
2020,UE15,Zona de densidad intermedia,Almodóvar del Río,A14005,0.35
2020,UE15,Zona rural,Añora,A14006,0.0
2020,UE15,Zona de densidad intermedia,Baena,A14007,0.13
2020,UE15,Zona rural,Belalcázar,A14008,0.19
2020,UE15,Zona rural,Belmez,A14009,0.21
2020,UE15,Zona rural,Benamejí,A14010,0.24
2020,UE15,Zona rural,"Blázquez, Los",A14011,0.0
2020,UE15,Zona de densidad intermedia,Bujalance,A14012,0.07
2020,UE15,Zona de densidad intermedia,Cabra,A14013,0.18
2020,UE15,Zona rural,Cañete de las Torres,A14014,0.0
2020,UE15,Zona rural,Carcabuey,A14015,0.17
2020,UE15,Zona rural,Cardeña,A14016,0.07
2020,UE15,Zona de densidad intermedia,"Carlota, La",A14017,0.18
2020,UE15,Zona rural,"Carpio, El",A14018,0.09
2020,UE15,Zona de densidad intermedia,Castro del Río,A14019,0.09
2020,UE15,Zona rural,Conquista,A14020,0.0
2020,UE15,Ciudades,Córdoba,A14021,0.27
2020,UE15,Zona rural,Doña Mencía,A14022,0.0
2020,UE15,Zona rural,Dos Torres,A14023,0.08
2020,UE15,Zona rural,Encinas Reales,A14024,0.49
2020,UE15,Zona rural,Espejo,A14025,0.03
2020,UE15,Zona rural,Espiel,A14026,0.5
2020,UE15,Zona de densidad intermedia,Fernán-Núñez,A14027,0.13
2020,UE15,Zona rural,Fuente la Lancha,A14028,0.0
2020,UE15,Zona rural,Fuente Obejuna,A14029,0.04
2020,UE15,Zona de densidad intermedia,Fuente Palmera,A14030,0.03
2020,UE15,Zona rural,Fuente-Tójar,A14031,1.8
2020,UE15,Zona rural,"Granjuela, La",A14032,0.23
2020,UE15,Zona rural,Guadalcázar,A14033,0.06
2020,UE15,Zona rural,"Guijo, El",A14034,0.0
2020,UE15,Zona de densidad intermedia,Hinojosa del Duque,A14035,0.15
2020,UE15,Zona rural,Hornachuelos,A14036,0.2
2020,UE15,Zona rural,Iznájar,A14037,10.09
2020,UE15,Zona de densidad intermedia,Lucena,A14038,0.24
2020,UE15,Zona rural,Luque,A14039,0.34
2020,UE15,Zona de densidad intermedia,Montalbán de Córdoba,A14040,0.04
2020,UE15,Zona rural,Montemayor,A14041,0.05
2020,UE15,Zona de densidad intermedia,Montilla,A14042,0.17
2020,UE15,Zona de densidad intermedia,Montoro,A14043,0.34
2020,UE15,Zona rural,Monturque,A14044,0.1
2020,UE15,Zona rural,Moriles,A14045,0.0
2020,UE15,Zona de densidad intermedia,Nueva Carteya,A14046,0.11
2020,UE15,Zona rural,Obejo,A14047,0.4
2020,UE15,Zona rural,Palenciana,A14048,0.96
2020,UE15,Zona de densidad intermedia,Palma del Río,A14049,0.15
2020,UE15,Zona rural,Pedro Abad,A14050,0.04
2020,UE15,Zona rural,Pedroche,A14051,0.13
2020,UE15,Zona de densidad intermedia,Peñarroya-Pueblonuevo,A14052,0.2
2020,UE15,Zona de densidad intermedia,Posadas,A14053,0.57
2020,UE15,Zona de densidad intermedia,Pozoblanco,A14054,0.18
2020,UE15,Zona de densidad intermedia,Priego de Córdoba,A14055,0.52
2020,UE15,Zona de densidad intermedia,Puente Genil,A14056,0.21
2020,UE15,Zona de densidad intermedia,"Rambla, La",A14057,0.21
2020,UE15,Zona de densidad intermedia,Rute,A14058,0.66
2020,UE15,Zona rural,San Sebastián de los Ballesteros,A14059,0.0
2020,UE15,Zona rural,Santaella,A14060,0.11
2020,UE15,Zona rural,Santa Eufemia,A14061,0.27
2020,UE15,Zona rural,Torrecampo,A14062,0.1
2020,UE15,Zona rural,Valenzuela,A14063,0.09
2020,UE15,Zona rural,Valsequillo,A14064,0.0
2020,UE15,Zona rural,"Victoria, La",A14065,0.04
2020,UE15,Zona de densidad intermedia,Villa del Río,A14066,0.13
2020,UE15,Zona rural,Villafranca de Córdoba,A14067,0.16
2020,UE15,Zona rural,Villaharta,A14068,0.16
2020,UE15,Zona de densidad intermedia,Villanueva de Córdoba,A14069,0.06
2020,UE15,Zona rural,Villanueva del Duque,A14070,0.28
2020,UE15,Zona rural,Villanueva del Rey,A14071,0.1
